dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	class
0.019392	0.063328	0.1319	0.18196	0.30842	0.4363	0.42033	0.38867	0.46542	0.36828	0.33964	0.31642	0.18391	0.0082789	0.0074311	0.012141	0.0098387	0.46542	0.43892	0.27009	-0.16883	0.067364	0.47419	0.55353	0.64203	0.73118	0.79258	0.33333	0.34448	0.93201	1.0157	0.93446	0.0047875	0.045556	0.055388	0.19053	0.24644	0.23474	0.20265	0.24651	0.18607	0.17089	0.16052	0.087997	0.00087621	0.0015338	0.0032417	0.0006772	0.27449	0.35114	0.3017	0.32997	0.10634	0.13772	-0.10127	-0.053119	0.0028468	0.011522	0.072972	0.057462	0.107	0.10809	0.10236	0.13534	-0.12138	0.060929	-0.038107	-0.03501	0.23795	-0.1023	0.041973	0.054302	0.0096726	-0.0445	-0.041845	-0.047163	2.0555	544.5
0.010612	0.12697	0.12061	0.23146	0.19906	0.17241	0.20786	0.27046	0.27332	0.18525	0.080358	0.1887	0.0072883	0.011412	0.0068548	0.005649	0.0054228	0.27332	0.23953	0.14728	-0.092251	0.033502	0.29751	0.45815	0.69426	0.99211	1.1286	0.25521	0.13392	0.63738	0.6589	0.70842	0.048756	0.084246	0.10784	0.1015	0.085913	0.11069	0.14077	0.13956	0.093439	0.040087	0.092665	0.00067881	0.0030866	0.0010265	0.00084538	0.0021002	0.21139	0.24933	0.25668	0.24741	0.10169	-0.10172	-0.1395	0.096585	0.12322	0.052373	0.07475	0.095091	0.10895	0.12192	0.1414	0.044547	-0.090169	-0.10043	0.11496	0.12547	0.42843	0.11419	0.32567	0.2654	0.11929	-0.018422	0.053001	0.025587	1.6986	367
0.01075	0.096416	0.18184	0.066263	0.3491	0.061941	0.24521	0.17406	0.35522	0.27352	0.045249	0.14477	0.0065711	0.015012	0.0087625	0.0092867	0.0094493	0.35522	0.23848	0.12048	-0.118	0.0371	0.29023	0.42925	0.62594	0.86833	1.0036	0.39062	0.10239	0.57034	0.69699	0.72812	0.056168	0.072248	0.040513	0.17229	0.032182	0.12041	0.088555	0.18199	0.1353	0.022258	0.075811	0.001997	0.0030287	0.0018005	0.0019871	0.0022251	0.24949	0.27874	0.2129	0.25446	-0.066778	-0.031684	-0.1395	0.13508	0.015733	0.14142	0.099101	0.091435	0.13215	0.13925	0.058459	-0.1414	-0.072243	0.089466	-0.13104	-0.13612	0.40318	0.15947	0.38129	0.29509	0.098582	-0.0054167	0.10715	0.044391	1.6802	361.5
0.012901	0.3618	0.18896	0.20876	0.22042	0.23022	0.29072	0.31335	0.28315	0.20923	0.082579	0.17139	0.0083258	0.010136	0.0069972	0.010585	0.011389	0.3618	0.28813	0.17619	-0.11194	0.046189	0.33564	0.45512	0.61059	0.79105	0.91955	0.23958	0.3149	0.45658	0.9302	1.012	0.054701	0.10334	0.10667	0.12555	0.12626	0.1495	0.16808	0.14727	0.10731	0.041472	0.086157	0.0040389	0.0026657	0.0022495	0.0024525	0.0029192	0.13032	0.2116	0.17204	0.18868	0.13576	0.028574	0.094352	-0.0032964	0.026169	0.087402	0.045597	0.075468	0.090276	0.11396	0.11284	0.10341	-0.1353	-0.049174	-0.13328	-0.011006	0.49326	-0.0547	0.25903	0.16913	0.20525	-0.053111	0.064166	-0.013422	1.9221	243.5
0.012803	0.32535	0.14504	0.19021	0.19907	0.2021	0.26495	0.27791	0.25739	0.19161	0.079592	0.16302	0.0080472	0.010246	0.0076919	0.0093219	0.012488	0.32535	0.1669	0.083024	-0.083878	0.051351	0.19036	0.24749	0.31881	0.39885	0.45891	0.45833	0.15566	0.16017	0.74451	0.82849	0.10779	0.051661	0.044761	0.091946	0.071934	0.070298	0.093262	0.077339	0.075835	0.01938	0.037716	0.0039893	0.0027423	0.0013648	0.0024321	0.0023504	0.13279	0.18429	0.18892	0.17445	0.096274	-0.071455	0.12687	0.13994	0.14142	0.11215	0.13987	0.13581	0.11894	0.117	-0.09582	0.12954	0.010677	-0.054637	-0.081694	-0.13518	0.24238	0.03227	0.43542	0.25169	0.061026	-0.037052	0.16341	0.057732	1.6824	243
0.0089712	0.12514	0.16429	0.23516	0.06068	0.14207	0.045143	0.15277	0.29832	0.037703	0.061776	0.10151	0.0071612	0.0095742	0.012658	0.0083677	0.0094813	0.29832	0.10169	0.042879	-0.058811	0.025198	0.13369	0.23042	0.38816	0.59711	0.62198	0.36979	0.15777	0.37301	0.42708	0.40396	0.059217	0.074605	0.071523	0.014092	0.057908	0.026684	0.083629	0.14895	0.020425	0.030352	0.018979	0.003354	0.0021504	0.0062358	0.00055612	0.0025911	0.26966	0.23137	0.21709	0.24157	0.13133	0.061444	0.090055	0.087582	-0.098441	-0.028151	0.027716	0.12086	0.036735	0.14071	-0.14015	0.1324	-0.13665	0.036337	-0.095717	0.12205	0.33258	0.23429	0.39546	0.32329	0.048724	0.0085826	0.094935	0.050805	1.5756	430.5
0.01634	0.11243	0.18766	0.20505	0.14732	0.23003	0.2454	0.33811	0.37672	0.37114	0.37411	0.38128	0.23805	0.014735	0.010349	0.01155	0.0071696	0.38128	0.35099	0.18629	-0.1647	0.067886	0.37862	0.44061	0.50953	0.57868	0.62582	0.30729	0.063081	0.85307	1.2059	1.3715	0.040864	0.074249	0.072262	0.033574	0.11306	0.11364	0.16712	0.18282	0.18233	0.18679	0.18978	0.11709	0.0058093	0.0016811	0.0024329	0.0023174	0.23143	0.29266	0.27298	0.27847	0.076035	0.037952	-0.0086705	0.10448	0.1402	0.11535	0.13321	0.13781	0.14085	0.12089	0.12461	0.13924	0.13476	0.017653	-0.10789	-0.034835	0.087203	-0.12884	0.064261	0.015443	-0.010254	-0.039491	-0.027609	-0.040508	1.9611	339.5
0.014452	0.29506	0.22606	0.15965	0.16021	0.12857	0.098111	0.1316	0.15367	0.18635	0.16093	0.24688	0.020272	0.0056343	0.010734	0.0076012	0.0092307	0.29506	0.070817	0.016399	-0.054418	0.038956	0.085348	0.12381	0.17724	0.24228	0.28129	0.38542	0.17581	0.37538	0.389	0.33427	0.1684	0.10786	0.051469	0.051786	0.042659	0.042694	0.02686	0.085101	0.065179	0.080255	0.10671	0.0112	0.0010812	0.0020855	0.0016692	0.0017462	0.18612	0.19385	0.24971	0.21199	0.11125	0.13666	0.13369	0.0089352	0.064266	-0.088334	-0.038679	0.018177	-0.13867	0.0031653	-0.07315	-0.10377	0.075518	0.13804	-0.10684	-0.082368	-0.134	-0.060426	0.19512	0.053766	-0.045383	-0.043925	0.010328	-0.0099856	1.7583	273.5
0.015486	0.13546	0.16013	0.13348	0.18485	0.18776	0.33282	0.41903	0.39221	0.32696	0.32531	0.2052	0.12753	0.012889	0.013094	0.0083815	0.010203	0.41903	0.30175	0.18053	-0.12122	0.055125	0.33932	0.42892	0.53764	0.65667	0.74714	0.43229	0.1186	0.86913	0.92507	1.152	0.061957	0.02306	0.044342	0.032204	0.080048	0.17336	0.22105	0.21328	0.17134	0.16833	0.1026	0.062709	0.0015996	0.0010898	0.0014357	0.0054693	0.23313	0.28495	0.2128	0.25489	-0.10626	-0.0038275	-0.12329	-0.063716	0.030677	0.073993	0.061327	0.033403	0.067895	0.080849	0.0032598	0.13968	0.039075	-0.12449	-0.12474	0.046205	0.31313	0.0079416	0.059783	0.12819	0.075168	-0.043521	-0.012313	-0.014714	2.0339	409.5
0.017424	0.12677	0.32782	0.14835	0.31727	0.11343	0.44354	0.62458	0.66863	0.41787	0.15939	0.18847	0.015432	0.024287	0.021112	0.019959	0.013075	0.66863	0.3917	0.21063	-0.18107	0.059737	0.43346	0.53072	0.64492	0.76619	0.8574	0.20833	0.091872	0.49559	0.56586	0.63844	0.032818	0.12146	0.0096461	0.12764	0.055805	0.22446	0.31883	0.33269	0.20747	0.078872	0.092682	0.0029801	0.0083355	0.010381	0.0095724	0.0022202	0.14039	0.31354	0.13588	0.23112	0.060478	0.0093568	0.14119	0.103	0.13904	0.10511	0.09541	0.12503	0.12765	0.13179	0.13956	-0.02988	0.079456	0.13969	0.13508	0.023881	0.31154	0.16938	0.11744	0.34109	0.075536	-0.020569	-0.038392	0.08607	1.6688	223.5
